Video Date,Session Number,Grasped?,Notes,Object
2024/08/09 12:40 (GMT+1),0,☑️ - Manipulated or Pinched - No Grasp,The First ant walks into frame and senses the nyjer seed using the antennae and forelegs and attempts to grasp the object. The ant searches repetitively along the length of the seed. Another ant walks in and senses and manipulates a dandelion seed that is out of focus. The ant sensing the nyjer seed walks away and another ant quickly senses the seed with its antennae the walks away. Other ants walk over the nyjer seed without attempting to manipulate it while the dandelion seed is manipulated in the background.,"Dandelion seed, Nyjer"
2024/08/09 12:40 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"The ant interacting with the nyjer seed senses using its antennae and manipulates the seed using its fore, and mid legs. Other ants walk through and interact with the seed by sensing it using antennae then walking away. The ant makes multiple pinches on the nyjer seed with the mandibles, and in the background, a dandelion seed is manipulated and removed however this interaction is not in focus of the cameras. There are multiple ants sensing and manipulating the nyjer seed simultaneously. An ant walks through the scene carrying another seed, interacts with the ant sensing the nyjer seed then leaves, then returns a number of seconds later and re-grasps this other seed in the centre of the field of focus of this video. The nyjer seed is not taken away, but is sensed and manipulated once more at 2:46.","Dandelion seed, Nyjer, Oat"
2024/08/09 12:40 (GMT+1),2,☑️ - Manipulated or Pinched - No Grasp,"Researcher moves seed to the centre frame. At 0:30, ant approaches the seed and senses it using the antennae and forelegs. The ant scans along the seed and senses using its mandibles, the ant also manipulates the seed using its forelegs. Another ant approaches the seed and senses it at the same time but moves away and senses another seed in the scene instead. The ant initially sensing the seed moves to eat a substance on the ground of the arena. Another ant approaches and the two ants touch antennae, and the first ant then exhibits cleaning behaviours, moving the forelegs along the antennae. This ant then returns to sense the nyjer seed and make some grasp attempts while lifting the seed using its forelegs. Another ant joins to sense and manipulate the seed but walks away without grasping. The ant remaining on the seed makes several grasp attempts, moving away at approximately 2:00. The full video contains multiple ants sensing and attempting to grasp two different seeds in the camera views, but no ants successfully grasp or lift either seed. 2:44 to 3:02, and 3:27 to 3:44 show good examples of the scanning behaviour that occurs when an ant is searching for a grasp.","Nyjer, Oat"
2024/08/09 12:40 (GMT+1),4,❌ - Sensed - Not Manipulated,Starts from 0:49. Ant senses grass seed up and down but does not pick it up. Good Focus.,Grass Seed
2024/08/09 12:40 (GMT+1),5,❌ - Sensed - Not Manipulated,"Senses object, does not pick up",Grass Seed
2024/08/09 12:40 (GMT+1),7,☑️ - Manipulated or Pinched - No Grasp,"Two ants simultaneously interact with the seed, using antennae and forelegs to manipulate the object, and using the mandibles to pinch. At 0:18, the object is lifted off the floor between the two ants but then lowered to the ground again as one ant walks away. A third ant senses and manipulates the object then exhibits cleaning behaviour at 0:35. Another ant senses the object but no ants carry the object away. ",Nyjer
2024/08/09 12:40 (GMT+1),8,❌ - Sensed - Not Manipulated,A single ant interacts with the nyjer seed but does not appear to make any grasp attempt. ,Nyjer
2024/08/09 12:40 (GMT+1),9,☑️ - Manipulated or Pinched - No Grasp,"Researcher places the seed in view. The first ant senses and manipulates the seed, making some grasp attempts with the mandibles and moves the object around on the ground. The ant stops to clean its antennae then interacts with other ants before walking away.",Nyjer
2024/08/09 12:40 (GMT+1),11,☑️ - Manipulated or Pinched - No Grasp,Ant senses object and manipulates it using the forelegs. The ant makes multiple small pinches using the mandibles and lifts the object using its legs but does not grasp the object using the mandibles then walks away.,Nyjer
2024/08/09 12:40 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,Researcher initially moves the seed then an ant approaches the seed and senses it briefly using antennae. The seed is adjusted again using tweezers by the researcher. Another ant approaches the seed and manipulates it using its forelegs and makes small pinches using its mandibles along the seed’s length but makes no grasp attempt. Another ant approaches and senses the seed but does not grasp it.,Nyjer
2024/08/09 12:40 (GMT+1),13,✅✅ - Grasped and Carried Away,Quickly scans up and down the nyjer seed and carries the object away.,Nyjer
2024/08/09 12:40 (GMT+1),14,☑️ - Manipulated or Pinched - No Grasp,"Three ants all sense the seed using antennae and appear to manipulate the seed, but only one makes pinching movements along the seed using its mandibles. This ant then cleans its antennae then walks away without making a grasp attempt.",Nyjer
2024/08/09 12:40 (GMT+1),15,☑️ - Manipulated or Pinched - No Grasp,"The researcher adds a second seed to the scene using tweezers. An ant makes antennal contact with a seed with no further interaction. Another ant walks up to the seeds and senses and manipulates one using its antennae and forelegs but not mandibles, senses the second seed then walks away. Several other ants sense the seeds in passing before the final ant senses and manipulates the seed using forelegs, antennae and mandibles. This ant does not attempt to grasp the seed and walks off.",Nyjer
2024/08/09 12:40 (GMT+1),16,☑️ - Manipulated or Pinched - No Grasp,"The researcher is manipulating seeds when the first ant senses the seed, at which point the researcher pulls away. The ant senses the seed, manipulating it slightly before walking away. Another ant senses then walks over the seed, passively manipulating it. The final ant in this clip senses the seed and manipulates it without grasping.",Nyjer
2024/08/09 12:40 (GMT+1),17,❌ - Sensed - Not Manipulated,The researcher manipulates the seed at first and an ant attempts to take the seed directly from the tweezers. This section is excluded from any evaluations. The ant leaves and several others arrive in view and sense the seed without manipulating or grasping. One ant senses the seed and pulls it slightly as a manipulation but does not grasp or pinch the seed. As this manipulation is minor the video is marked as no manipulation. ,Nyjer
2024/08/09 12:40 (GMT+1),19,☑️ - Manipulated or Pinched - No Grasp,Small ant senses seed ant attempts to pick it up but not fully.,Dandelion seed
2024/08/09 12:40 (GMT+1),20,✅✅ - Grasped and Carried Away,"starts from 1:04, dandelion seed also present. Ant picks up pollen lump quickly. Dandelion seed picked up after by another ant.","Dandelion seed, Pollen Lump"
2024/08/09 12:40 (GMT+1),21,❌ - Sensed - Not Manipulated,Ant senses round the seed then puts it down,Large Seed
2024/08/09 12:40 (GMT+1),22,✅✅ - Grasped and Carried Away,"Ant senses round the seed then walks away. The same ant (?) returns and circles round the object, manipulating it with forelimbs as well as mandibles then drags it away.",Large Seed
2024/08/09 12:40 (GMT+1),23,✅✅ - Grasped and Carried Away,"Ant manipulates the round seed with limb and mandible then finds an extremity, grasps it and carries it away.",Mustard Seed
2024/08/09 12:40 (GMT+1),24,✅✅ - Grasped and Carried Away,"Ant manipulates the seed using fore and midlimbs before grasping it once retrying then lifting and carrying it away,",Dandelion seed
2024/08/09 13:26 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"Multiple ants manipulating the same seed. First ant arrives at 0:33 and senses and manipulates the seed. The second ant interacts with the first ant, then interacts with the object and senses it using mandibles and antenna but does not lift using the mouthparts. A third ant also briefly interacts with the seed.",Nyjer
2024/08/09 13:26 (GMT+1),2,☑️ - Manipulated or Pinched - No Grasp,Researcher manipulates the seed using tweezers to move it to the middle of the field of view. An ant manipulates the seed using its forelegs and senses the seed but does not attempt to grasp the seed using mandibles.,Nyjer
2024/08/09 13:26 (GMT+1),4,✅✅ - Grasped and Carried Away,"Video starts at 0:42, ant picks up dandelion seed quickly. Out of focus.",Dandelion seed
2024/08/09 13:26 (GMT+1),5,✅✅ - Grasped and Carried Away,Ant picks up dandelion seed and adjusts too.,Dandelion seed
2024/08/09 13:26 (GMT+1),6,✅✅ - Grasped and Carried Away,Ant picks up dandelion seed and adjusts too.,Dandelion seed
2024/08/09 13:26 (GMT+1),7,☑️ - Manipulated or Pinched - No Grasp,Ant picks up but start of video is missing,Dandelion seed
2024/08/09 13:26 (GMT+1),8,✅✅ - Grasped and Carried Away,First ant senses and manipulates objects and attempts to grasp but walks away. Second ant comes in and uses forelegs and midlegs to hold the object but picks it up in the end and cleans the antenna,Dandelion seed
2024/08/09 13:47 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"Ant senses seed and manipulates using forelimbs, antennae and mandibles then walks away without carrying the object.",Nyjer
2024/08/09 13:47 (GMT+1),3,☑️ - Manipulated or Pinched - No Grasp,Researcher places seed in frame. The seed is walked over and disturbed by several ants. Two ants sense one of the seeds and manipulate it but do not attempt to grasp the seed. ,Nyjer
2024/08/09 13:47 (GMT+1),6,☑️ - Manipulated or Pinched - No Grasp,The first ant to interact with the seed only senses the seed using its antennae. The second ant senses the object with antennae and forelegs and uses its mandibles to scan along the object but does not make any grasp attempt.,Nyjer
2024/08/09 13:47 (GMT+1),7,❌ - Sensed - Not Manipulated,"Poorly focused video, seed starts out of frame of most cameras. Researcher moves the seed more in frame but the seed remains out of focus for some views. At 0:33, an ant senses the seed but does not manipulate, pinch or grasp the object.",Nyjer
2024/08/09 13:47 (GMT+1),8,❌ - Sensed - Not Manipulated,"At 0:21, an ant walks to the seed, walks over the seed and senses it using the antennae. Another ant walks over the seed at 0:31, but there is no further interaction.",Nyjer
2024/08/09 13:47 (GMT+1),9,☑️ - Manipulated or Pinched - No Grasp,"Video not useful for nyjer analysis. Video begins with an ant already sensing a seed. The and scans along the seed using antennae. forelegs and mandibles but does not attempt to grasp it. Several other ants walk through the scene, some disturbing the seed without stopping to interact with it. The researcher then stops to replace the nyjer seed with a large seed of barley at 0:18. An ant immediately begins to interact with the seed and crawls over it. Other ant approach the barley seed and sense it without using their mandibles to pinch it, but do make sustained contact using their mouthparts without opening the mandibles.","Corn, Nyjer"
2024/08/09 13:47 (GMT+1),10,❌ - Sensed - Not Manipulated,video includes large seed that different ants explore but do not manipulate.,Corn
2024/08/09 14:02 (GMT+1),1,❌ - Sensed - Not Manipulated,"Researcher adjusts the seed. Several ants sense the seed using antennae briefly without stopping to manipulate the seed. At 1:28, an ant walks over the seed as it senses it, but does not manipulate the seed actively.",Nyjer
2024/08/09 14:02 (GMT+1),3,☑️ - Manipulated or Pinched - No Grasp,"Video begins mid-interaction. After the first ant walks away from the seed another ant approaches quickly, it senses the seed with its antennae and holds the seed with its forelegs as it holds the mouthparts close to the seed but makes no attempt to grasp it. Other ants walk into the video but no ant makes contact with the seed.",Nyjer
2024/08/09 14:02 (GMT+1),4,✅✅ - Grasped and Carried Away,Large flat slippery seed. Ant senses around the edge of the seed continuously for several minutes. It awkwardly drags it away.,Large Seed
2024/08/09 14:02 (GMT+1),5,✅✅ - Grasped and Carried Away,Large flat slippery seed. Several ants sense the object but the last ant carries it off.,Large Seed
2024/08/09 14:02 (GMT+1),6,✅✅ - Grasped and Carried Away,Large flat slippery seed. Several ants sense the object but the last drags off the object awkwardly.,Large Seed
2024/08/09 14:02 (GMT+1),7,✅✅ - Grasped and Carried Away,Large flat slippery seed. A single ant senses the object and rolls it away using forelimbs.,Large Seed
2024/08/09 14:02 (GMT+1),8,☑️ - Manipulated or Pinched - No Grasp,First ant uses forelimbs to manipulate seed but does not carry it away or grasp it.,Mustard Seed
2024/08/09 14:02 (GMT+1),10,☑️ - Manipulated or Pinched - No Grasp,"Multiple ants sense the seed, and one ant manipulates it slightly while sensing but does not grasp.",Mustard Seed
2024/08/09 14:02 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it.",Mustard Seed
2024/08/09 14:02 (GMT+1),13,☑️ - Manipulated or Pinched - No Grasp,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it. Another ant also senses the seed.",Mustard Seed
2024/08/09 14:02 (GMT+1),14,☑️ - Manipulated or Pinched - No Grasp,The video begins with the researcher replacing a mustard seed with a nyjer seed using tweezers. An ant walks over the seed and senses it using antennae. Another ant shows this same behaviour at 0:40. The final ant to interact with the seed senses it with its antennae and manipulates the seed using its forelegs while it scans up and down the length of the seed with the mandibles open and tracing along the surface of the seed. It doesn’t appear to make an attempt to grasp the seed before walking away.,Nyjer
2024/08/09 14:02 (GMT+1),16,❌ - Sensed - Not Manipulated,"An ant walks up to the seed and makes antennal contacts, it climbs over the seed but does not stop to manipulate it.",Nyjer
2024/08/09 14:02 (GMT+1),18,☑️ - Manipulated or Pinched - No Grasp,"Multiple ants sense the seed, and one ant manipulates it slightly while sensing but does not grasp.",Mustard Seed
2024/08/09 14:02 (GMT+1),19,✅✅ - Grasped and Carried Away,One ant senses the object and manipulates it slightly using forelimbs to find the right orientation then grasps it using mandibles.,Mustard Seed
2024/08/09 14:02 (GMT+1),20,☑️ - Manipulated or Pinched - No Grasp,One ant senses the seed that is slippy and searches to find a grasp point but then walks away.,Oat
2024/08/09 14:02 (GMT+1),21,❌ - Sensed - Not Manipulated,One ant senses the seed but does not grasp it.,Oat
2024/08/09 14:02 (GMT+1),22,☑️ - Manipulated or Pinched - No Grasp,One ant senses the seed that is slippy and searches to find a grasp point but then walks away. The ant returns and continues to sense the object but does not grasp it in the end.,Oat
2024/08/09 14:02 (GMT+1),23,❌ - Sensed - Not Manipulated,Ants sense the object and around the object but none grasp.,Oat
2024/08/09 14:36 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,Two ants manipulate the object and seem to attempt to grasp but none succeed. Both walk away.,Grass Seed
2024/08/09 14:36 (GMT+1),2,❌ - Sensed - Not Manipulated,Multiple ants sense the seed but none grasp.,Grass Seed
2024/08/09 14:36 (GMT+1),3,✅✅ - Grasped and Carried Away,Two ants actually pick the seed up in this video. The first puts it down after and the second walks away with it.,Grass Seed
2024/08/09 14:36 (GMT+1),4,✅✅ - Grasped and Carried Away,First large ant manipulates the seed but does not pick it up. Another ant senses the seed and the third then manipulates and picks up the grass seed.,Grass Seed
2024/08/09 14:36 (GMT+1),5,✅✅ - Grasped and Carried Away,"Two seeds are present in the video, multiple ants sense the upper seed and spend extended times sensing the object. An ant temporarily lifts the bottom seed then drops it again. The upper seed is carried off by another ant.",Grass Seed
2024/08/09 14:36 (GMT+1),6,✅ - Grasped + Dropped,"Two seeds are present, an ant carries off the left seed but out of focus of camera 0. Another ant also senses the second seed.",Grass Seed
2024/08/09 14:36 (GMT+1),7,✅✅ - Grasped and Carried Away,"Two seeds are present, upper seed is manipulated but not carried off by an ant, but out of focus of camera 0. The same ant goes to sense and manipulate the second seed. The second seed is grasped and carried off.",Grass Seed
2024/08/09 14:36 (GMT+1),8,❌ - Sensed - Not Manipulated,Multiple ants sense the seed but none grasp.,Grass Seed
2024/08/09 14:36 (GMT+1),9,✅ - Grasped + Dropped,"Single ant senses the seed, grasps it to lift it slightly but drops it again before walking off.",Grass Seed
2024/08/09 14:36 (GMT+1),10,✅ - Grasped + Dropped,"Single ant senses grass seed slightly out of focus of camera 0. It drags it further out of focus and out of frame to pick it up and carry it away,",Grass Seed
2024/08/09 14:36 (GMT+1),12,☑️ - Manipulated or Pinched - No Grasp,"The first ant senses the seed as if to grasp it, moving the mandibles along the seed surface but not encompassing the seed with the mandibles in a grasp. A second ant approaches the seed and senses it and manipulates the seed using its forelegs while making many small pinches along the seed length without executing a grasp. This second ant cleans its antennae before walking away. ",Nyjer
2024/08/09 14:36 (GMT+1),14,☑️ - Manipulated or Pinched - No Grasp,Single ant manipulates the seed but does not grasp it.,Oat
2024/08/09 14:36 (GMT+1),15,❌ - Sensed - Not Manipulated,A few ants walk over the seed and one ant senses it but does not manipulate or grasp it.,Oat
2024/08/09 14:36 (GMT+1),16,❌ - Sensed - Not Manipulated,Single ant senses seed and the seed moves but the ant does not attempt a grasp.,Oat
2024/08/09 14:36 (GMT+1),18,✅ - Grasped + Dropped,Ant spends a significant length of time manipulating the seed and searching for a grasp location. Some of this time is out of frame of camera 0. Another ant senses a second oat seed. The ant grasps the object and picks it up,Oat
2024/08/09 14:36 (GMT+1),19,❌ - Sensed - Not Manipulated,Multiple ants sense a seed but none attempt to pick it up,Oat
2024/09/05 16:16 (GMT+1),1,☑️ - Manipulated or Pinched - No Grasp,"The seed is manipulated by the researcher by hand. The first ant senses object and makes small pinching movements with the mandibles as it manipulates the object using its forelegs and makes contact using the antennae. The mid-legs are also used to manipulate the seed. The ant cleans its antennae and forelegs, and curves the thorax under the body for a moment before walking away.",Nyjer
