Calibration Parameters,Grasped?,Hardware Synchronised,Notes,Object,Reviewed for Upload?,Session Number,Video Date
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. Pile of seeds in the middle of the scene. An ant walks across the pile at 0:08. Two different ants walk near the scene at 0:37 and 0:41 respectively. At 0:39, an ant walks into the scene, senses and pinches a Nyjer seed without moving it. At 0:44, one ant interacts with the other ant from 0:39 but does not sense any seed. At 0:45, a new ant senses and pinches a grass seed then walks away without grasping. At 0:53, a new ant senses a Nyjer seed, and pinches and manipulates the seed with its forelegs then picks it up and carries it away, also cleaning its antennae with the object held in the mandibles. At the end of this video, a separate ant walks across the pile of seeds sensing it with its antennae.",Nyjer,Yes,7,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,Not Synchronised Video. Multiple seeds in view. An ant crawls across the pile of seeds at 0:07. Another senses the seeds at 0:37.  At 1:18 ant enters the scene and senses a seed before manipulating it using mandibles and forelimbs. It drags the seed out of view of the camera without lifting the seed up.,Nyjer,Yes,6,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:33 an ant moves into view, then senses and manipulates the large flat seed for an extended duration, partially out of view of one of the video feeds. The ant uses its mandibles and pinches around the edge of the seed. Video continues for 2 minutes but section of interest is 0:33 to 1:12. At 0:42, another ant enters the scene but does not interact with any seeds. Another ant moves through the scene starting at 1:38, without interacting with any objects.
Another ant arrives and senses a lump of Bhatkar mix at 2:45 and there are no visible ants after this time stamp.",Large Seed,Yes,8,2024/07/25 16:30 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,Not Synchronised Video. Ant walks into scene and quickly manipulates the seed and attempts grasps but leaves without the seed.,Grass Seed,Yes,3,2024/07/25 15:09 (GMT+1)
No,❌ - Sensed - Not Manipulated,No,"Not Synchronised Video. Multiple seeds in the video, ant walks through the scene and sensed the seeds using antennae then walks off without attempting a grasp. Extended sensing of mustard seed.",Mustard Seed,Yes,14,2024/07/25 15:09 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. Pile of seeds, multiple ants walk around the seeds. Some briefly sense the grass seed. After 1:25 a pollen lump is moved into view. One large ant enters the scene and makes rapid antennal contacts with another ant. This larger ant then moves and senses the lump before dragging the object out of frame, but then grasps the object using the mandibles and carries away while out of frame.",Pollen Lump,Yes,20,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:12, an ant moves through the view of the camera. At 0:17, a different ant walks through the scene without interacting, carrying a mustard seed in its mandibles. At 0:24, an ant senses the Nyjer seed but does not manipulate it. An ant walks through at 1:32 and senses the seed without manipulating or making leg contact. At 2:51, an ant walks up to the nyjer seed while tapping its antennae on the ground. This ant uses its antennae to probe the seed, and manipulates the seed with its forelegs while pinching with its mandibles. It crawls over the pile of seeds but does not pinch or manipulate any other objects. This ant cleans its antennae then walks out of the scene.",Nyjer,Yes,21,2024/07/25 15:28 (GMT+1)
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. Consider this video after 1:24 due to disturbance of the camera and interference with seed pile before this. The first, smaller, ant moves to the centre of the pile, senses a dandelion seed and opens its mandibles but makes no grasp attempt. At 1:28, a larger ant senses the oat seeds in the pile without manipulating them. At 1:32, another large ant walks over the seed pile with mandibles wide open and moves the seeds then walks away. At 1:37, an ant walks into view of the camera, senses the pile of seeds and walks away. At 1:41, an ant senses the ground before making antennal contact with a nyjer seed. It holds the seed with its forelegs and makes contact with the antennae then pinches the seed with its mandibles. The forelegs remain in contact with the seed even as the seed is held off the ground. By 1:46, the ant has carried the nyjer seed out of view.",Nyjer,Yes,23,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 1:15, an ant walks towards the oat seed and senses it using its antennae, making brief contact with its forelegs, then using those forelegs to manipulate the seed and rotate it while it taps the mandibles along the surface in a partially opened pose, almost vibrating the mandibles against the surface of the seed. The forelegs appear to be pulling the seed towards the ant head, and the left midleg also makes contact with the seed. The ant makes multiple pinching attempts on the object. This ant walks away and over the oat seed without attempting to grasp it.",Oat,Yes,25,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 1:26, an ant walks up to the pile of seeds, first contacting a dandelion seed with its antennae then probing a lump of pollen. This ant touches the lump of pollen with its mandible tips and forelegs, manipulating the object, and using the forelegs to pull the lump towards the ants body. The ant does this without pinching the pollen lump with its mandibles. The ant then moves to a large flat seed. The ant stands on the seed with its forelegs, the left and right midlegs are stood on the pollen lump and an oat seed respectively. The ant follows the thin edge of the flat seed using its mandibles and manipulating that seed with its forelegs. Then the ant moves to sense an oat, and a mustard seed, walking over the two before walking away.","Dandelion seed, Large Seed, Pollen Lump",Yes,26,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:02, an ant senses a pollen lump making localised frequent taps with the antennae. The ant moves to pinch the object with its mandibles and uses its forelegs to pull the pollen lump towards its body. The mandibles appear to be vibrating against the pollen lump in between the inner edges of the mandibles. The ant makes multiple pinching attempts on this pollen lump but does not grasp it. The ant then moves to sense a dandelion seed with its antennae, and uses its legs to pull a different dandelion seed away from the first. The ant rotates the seed and its body so the two are more aligned and rotates its head to fit the mandibles around the dandelion seed. The ant lifts this dandelion seed with it held in the mandibles but does not carry the seed away, and continues pinching up the length of the seed. The ant moves on to sense an oat seed, manipulating it briefly, then crawls over and touches the open mandibles to a mustard seed but walks off without grasping.","Dandelion seed, Large Seed, Mustard Seed, Pollen Lump",Yes,28,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:36, the ant walks up to a pollen lump and taps it with tho antennae and touches the lump with its forelegs in multiple locations, then the ant moves onto a dandelion seed that it pulls using the forelegs, and grips using the mandibles, to then pick up the seed. Using its forelegs to hold the seed while it readjusts the grip the mandibles, the ant moves the mandibles up towards the widest end of the seed. The ant then continues moving the mandibles along the seed surface, back down to the smaller tip. The ant puts the dandelion seed down, and senses the pile of seeds in a wide range with the antennae and walks away without manipulating any other seeds.",Dandelion seed,Yes,29,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At 0:05, a large ant enters the scene, tapping over the pile of seeds in a wide range with the tips of the antennae. The ant walks around the pile of seeds, until it reaches a dandelion seed. At this point, the search becomes more localised over a small area around the seed. The ant makes contact with the antennae on the dandelion seed then uses its forelegs to pull and manipulate the seed. The ant pinches with the mandibles and lifts the seed off the ground while the forelegs remain in contact with the seed. The mandible pinch releases and the and continues to pinch the dandelion seed in other locations, continuing to contact the seed with rapid tapping movements the whole time. The ant walks away without the seed. The ant also performs some grooming behaviour out of view of the cameras.",Dandelion seed,Yes,30,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:28, an ant walks to the pile of seeds and immediately senses then interacts with a pollen lump. The ant manipulates the seeds using its forelegs ant taps using the antennae around the pollen lump. The ant touches the pollen lump with its mandibles and continues to use the forelegs to pull the pollen lump away from the pile of seeds. Without picking up the seed, it takes the pollen lump out of view of the cameras.",Pollen Lump,Yes,31,2024/07/25 15:28 (GMT+1)
No,✅ - Grasped + Dropped,No,"Not Synchronised Video. At the start of the video an ant walks into view, sensing the ground but makes only antennal contact with any seeds. The researcher then adjusts the pile of seeds using tweezers. More seeds are added to the pile then at 1:02 an ant walks into view, senses a dandelion seed using its antennae. The ant then moves on to sensing an oat and manipulating it with its forelegs. The ant goes back to the first dandelion seed and picks it up using its mandibles, while also securing the seed with its forelegs. The dandelion seed is put down and the ant cleans its antennae before walking away.",Dandelion seed,Yes,32,2024/07/25 15:28 (GMT+1)
No,✅✅ - Grasped and Carried Away,No,"Not Synchronised Video. From the start of the video, there is an ant sensing and walking over the pile of seeds. At 0:15 another ant senses a dandelion seed with its antennae then walks away without manipulating anything. At 0:22, that same ant walks back through the outer edge of the scene walking over some dandelion seeds. At 0:31, an ant walks up to a dandelion seed and senses it with the antennae then senses a large flat seed with the antennae, and walking over a dandelion seed. This ant manipulates the dandelion seed using its forelegs and rotates the seed to align it with the mandibles. This ant touches the seed with its mandibles but does not grip the seed. It walks to another dandelion seed that it senses with the antennae and in a short period of time, manipulates with the forelegs, pinches with the mandibles multiple times. This ant also appears to use the right midleg to manipulate or hold this seed. The ant searches around the seed in this manner for a number of seconds until it grips the seed using its mandibles, cleans the antennae then walks out of view.",Dandelion seed,Yes,35,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,No,"Not Synchronised Video. At 0:17, an ant walks over the pile of seeds. At 0:18, a smaller ant approaches a mustard seed and senses it using the antennae, sensing other seeds in the pile. The range of antennal movement becomes a lot smaller as it senses a dandelion seed and moves the mandibles to the antennae tips. Then the ant uses its legs to manipulate the seed, rotating the seed along its axis as it pulls the seed towards its body. The ant grips multiple times along the seed surface then picks the seed up in its mandibles, curving the abdomen close to the ground as it does. The ant regrasps and continues to manipulate the seed out of frame, but does not grip this seed at any future point. This ant walks back to the seed pile and touches different seeds with the antennae in a wide search area. The ant finds another dandelion seed and approaches it with widening mandibles, but does not pinch it. The ant cleans its right antenna, senses another seed, cleans its left antenna, then walks away.",Dandelion seed,Yes,37,2024/07/25 15:28 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,The First ant walks into frame and senses the nyjer seed using the antennae and forelegs and attempts to grasp the object. The ant searches repetitively along the length of the seed. Another ant walks in and senses and manipulates a dandelion seed that is out of focus. The ant sensing the nyjer seed walks away and another ant quickly senses the seed with its antennae the walks away. Other ants walk over the nyjer seed without attempting to manipulate it while the dandelion seed is manipulated in the background.,"Dandelion seed, Nyjer",Yes,0,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"The ant interacting with the nyjer seed senses using its antennae and manipulates the seed using its fore, and mid legs. Other ants walk through and interact with the seed by sensing it using antennae then walking away. The ant makes multiple pinches on the nyjer seed with the mandibles, and in the background, a dandelion seed is manipulated and removed however this interaction is not in focus of the cameras. There are multiple ants sensing and manipulating the nyjer seed simultaneously. An ant walks through the scene carrying another seed, interacts with the ant sensing the nyjer seed then leaves, then returns a number of seconds later and re-grasps this other seed in the centre of the field of focus of this video. The nyjer seed is not taken away, but is sensed and manipulated once more at 2:46.","Dandelion seed, Nyjer, Oat",Yes,1,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Researcher moves seed to the centre frame. At 0:30, ant approaches the seed and senses it using the antennae and forelegs. The ant scans along the seed and senses using its mandibles, the ant also manipulates the seed using its forelegs. Another ant approaches the seed and senses it at the same time but moves away and senses another seed in the scene instead. The ant initially sensing the seed moves to eat a substance on the ground of the arena. Another ant approaches and the two ants touch antennae, and the first ant then exhibits cleaning behaviours, moving the forelegs along the antennae. This ant then returns to sense the nyjer seed and make some grasp attempts while lifting the seed using its forelegs. Another ant joins to sense and manipulate the seed but walks away without grasping. The ant remaining on the seed makes several grasp attempts, moving away at approximately 2:00. The full video contains multiple ants sensing and attempting to grasp two different seeds in the camera views, but no ants successfully grasp or lift either seed. 2:44 to 3:02, and 3:27 to 3:44 show good examples of the scanning behaviour that occurs when an ant is searching for a grasp.","Nyjer, Oat",Yes,2,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"Exclude from analysis. Video starts with ant manipulating seed that is not Nyjer. An ant shows cleaning behaviour and wipes the antennae with its forelegs. This ant moves to interact with the seed, and interacts with an ant that approaches by making antennal contact with the other ant before sensing the nyjer seed. The ant senses the seed using its antennae and manipulates the seed using its forelegs while it scans along the length of the seed. In this video, the change to a gasping behaviour is preceded by an interaction with tweezers held by the researcher and is a less natural transition. ",Nyjer,Yes,3,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Removed as fingerprint is visible in video. Starts from 0:54. Ant makes contact with the seed with its antennae and changes from a wide range of movement with the antennae to a more localised range. The ant moves to hold the seed with its forelegs and touches the seed with its mandibles. The ant moves the seed and aligns it more with the orientation of its head. The ant moves the mandibles up the edge of the seed making repeated pinching motions. It releases the seed and approaches it from another direction, making mandible contact quickly. The ant pulls and manipulates the seed using its midlegs and forelegs. The ant then walks away from the seed and cleans both antennae. At 1:13, a different ant approaches the grass seed and senses and walks over it but does not manipulate it. Good Focus.",Grass Seed,Yes,4,2024/08/09 12:40 (GMT+1)
No,❌ - Sensed - Not Manipulated,Yes,"Senses object, does not pick up",Grass Seed,No,5,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Two ants simultaneously interact with the seed, using antennae and forelegs to manipulate the object, and using the mandibles to pinch. At 0:18, the object is lifted off the floor between the two ants but then lowered to the ground again as one ant walks away. A third ant senses and manipulates the object then exhibits cleaning behaviour at 0:35. Another ant senses the object but no ants carry the object away. ",Nyjer,Yes,7,2024/08/09 12:40 (GMT+1)
No,❌ - Sensed - Not Manipulated,Yes,A single ant interacts with the nyjer seed but does not appear to make any grasp attempt. ,Nyjer,Yes,8,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Researcher places the seed in view. The first ant senses and manipulates the seed, making some grasp attempts with the mandibles and moves the object around on the ground. The ant stops to clean its antennae then interacts with other ants before walking away.",Nyjer,Yes,9,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant senses object and manipulates it using the forelegs. The ant makes multiple small pinches using the mandibles and lifts the object using its legs but does not grasp the object using the mandibles then walks away.,Nyjer,Yes,11,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,Researcher initially moves the seed then an ant approaches the seed and senses it briefly using antennae. The seed is adjusted again using tweezers by the researcher. Another ant approaches the seed and manipulates it using its forelegs and makes small pinches using its mandibles along the seed’s length but makes no grasp attempt. Another ant approaches and senses the seed but does not grasp it.,Nyjer,Yes,12,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,Quickly scans up and down the nyjer seed and carries the object away.,Nyjer,Yes,13,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Three ants all sense the seed using antennae and appear to manipulate the seed, but only one makes pinching movements along the seed using its mandibles. This ant then cleans its antennae then walks away without making a grasp attempt.",Nyjer,Yes,14,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"The researcher adds a second seed to the scene using tweezers. An ant makes antennal contact with a seed with no further interaction. Another ant walks up to the seeds and senses and manipulates one using its antennae and forelegs but not mandibles, senses the second seed then walks away. Several other ants sense the seeds in passing before the final ant senses and manipulates the seed using forelegs, antennae and mandibles. This ant does not attempt to grasp the seed and walks off.",Nyjer,Yes,15,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"The researcher is manipulating seeds when the first ant senses the seed, at which point the researcher pulls away. The ant senses the seed, manipulating it slightly before walking away. Another ant senses then walks over the seed, passively manipulating it. The final ant in this clip senses the seed and manipulates it without grasping.",Nyjer,Yes,16,2024/08/09 12:40 (GMT+1)
No,❌ - Sensed - Not Manipulated,Yes,The researcher manipulates the seed at first and an ant attempts to take the seed directly from the tweezers. This section is excluded from any evaluations. The ant leaves and several others arrive in view and sense the seed without manipulating or grasping. One ant senses the seed and pulls it slightly as a manipulation but does not grasp or pinch the seed. As this manipulation is minor the video is marked as no manipulation. ,Nyjer,Yes,17,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,Small ant senses seed ant attempts to pick it up but not fully.,Dandelion seed,No,19,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"starts from 1:04, dandelion seed also present. Ant picks up pollen lump quickly. Dandelion seed picked up after by another ant.","Dandelion seed, Pollen Lump",No,20,2024/08/09 12:40 (GMT+1)
No,❌ - Sensed - Not Manipulated,Yes,Ant senses round the seed then puts it down,Large Seed,No,21,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"Ant senses round the seed then walks away. The same ant (?) returns and circles round the object, manipulating it with forelimbs as well as mandibles then drags it away.",Large Seed,No,22,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"Ant manipulates the round seed with limb and mandible then finds an extremity, grasps it and carries it away.",Mustard Seed,No,23,2024/08/09 12:40 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"Ant manipulates the seed using fore and midlimbs before grasping it once retrying then lifting and carrying it away,",Dandelion seed,No,24,2024/08/09 12:40 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,"Multiple ants manipulating the same seed. First ant arrives at 0:33 and senses and manipulates the seed. The second ant interacts with the first ant, then interacts with the object and senses it using mandibles and antenna but does not lift using the mouthparts. A third ant also briefly interacts with the seed.",Nyjer,Yes,1,2024/08/09 13:26 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,Researcher manipulates the seed using tweezers to move it to the middle of the field of view. An ant manipulates the seed using its forelegs and senses the seed but does not attempt to grasp the seed using mandibles.,Nyjer,Yes,2,2024/08/09 13:26 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,"Video starts at 0:42, ant picks up dandelion seed quickly. Out of focus.",Dandelion seed,No,4,2024/08/09 13:26 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,Ant picks up dandelion seed and adjusts too.,Dandelion seed,No,5,2024/08/09 13:26 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,Ant picks up dandelion seed and adjusts too.,Dandelion seed,No,6,2024/08/09 13:26 (GMT+1)
No,☑️ - Manipulated or Pinched - No Grasp,Yes,Ant picks up but start of video is missing,Dandelion seed,No,7,2024/08/09 13:26 (GMT+1)
No,✅✅ - Grasped and Carried Away,Yes,First ant senses and manipulates objects and attempts to grasp but walks away. Second ant comes in and uses forelegs and midlegs to hold the object but picks it up in the end and cleans the antenna,Dandelion seed,No,8,2024/08/09 13:26 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"Ant senses seed and manipulates using forelimbs, antennae and mandibles then walks away without carrying the object.",Nyjer,Yes,1,2024/08/09 13:47 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,Researcher places seed in frame. The seed is walked over and disturbed by several ants. Two ants sense one of the seeds and manipulate it but do not attempt to grasp the seed. ,Nyjer,Yes,3,2024/08/09 13:47 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,The first ant to interact with the seed only senses the seed using its antennae. The second ant senses the object with antennae and forelegs and uses its mandibles to scan along the object but does not make any grasp attempt.,Nyjer,Yes,6,2024/08/09 13:47 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Poorly focused video, seed starts out of frame of most cameras. Researcher moves the seed more in frame but the seed remains out of focus for some views. At 0:33, an ant senses the seed but does not manipulate, pinch or grasp the object.",Nyjer,Yes,7,2024/08/09 13:47 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"At 0:21, an ant walks to the seed, walks over the seed and senses it using the antennae. Another ant walks over the seed at 0:31, but there is no further interaction.",Nyjer,Yes,8,2024/08/09 13:47 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"Video removed due to fingerprint being visible in video. Video not useful for nyjer analysis. Video begins with an ant already sensing a seed. The and scans along the seed using antennae. forelegs and mandibles but does not attempt to grasp it. Several other ants walk through the scene, some disturbing the seed without stopping to interact with it. The researcher then stops to replace the nyjer seed with a large seed of barley at 0:18. An ant immediately begins to interact with the seed and crawls over it. Other ant approach the barley seed and sense it without using their mandibles to pinch it, but do make sustained contact using their mouthparts without opening the mandibles.","Corn, Nyjer",Yes,9,2024/08/09 13:47 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,video includes large seed that different ants explore but do not manipulate.,Corn,No,10,2024/08/09 13:47 (GMT+1)
Yes,❌ - Sensed - Not Manipulated,Yes,"Researcher adjusts the seed. Several ants sense the seed using antennae briefly without stopping to manipulate the seed. At 1:28, an ant walks over the seed as it senses it, but does not manipulate the seed actively.",Nyjer,Yes,1,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"Video begins mid-interaction. After the first ant walks away from the seed another ant approaches quickly, it senses the seed with its antennae and holds the seed with its forelegs as it holds the mouthparts close to the seed but makes no attempt to grasp it. Other ants walk into the video but no ant makes contact with the seed.",Nyjer,Yes,3,2024/08/09 14:02 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Large flat slippery seed. Ant senses around the edge of the seed continuously for several minutes. It awkwardly drags it away.,Large Seed,No,4,2024/08/09 14:02 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Large flat slippery seed. Several ants sense the object but the last ant carries it off.,Large Seed,No,5,2024/08/09 14:02 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Large flat slippery seed. Several ants sense the object but the last drags off the object awkwardly.,Large Seed,No,6,2024/08/09 14:02 (GMT+1)
Yes,✅✅ - Grasped and Carried Away,Yes,Large flat slippery seed. A single ant senses the object and rolls it away using forelimbs.,Large Seed,No,7,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,First ant uses forelimbs to manipulate seed but does not carry it away or grasp it.,Mustard Seed,No,8,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"Multiple ants sense the seed, and one ant manipulates it slightly while sensing but does not grasp.",Mustard Seed,No,10,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it.",Mustard Seed,No,12,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,"One ant manipulates it slightly while sensing but does not grasp. It uses forelimbs to pull the seed, and move it. Another ant also senses the seed.",Mustard Seed,No,13,2024/08/09 14:02 (GMT+1)
Yes,☑️ - Manipulated or Pinched - No Grasp,Yes,The video begins with the researcher replacing a mustard seed with a nyjer seed using tweezers. An ant walks over the seed and senses it using antennae. Another ant shows this same behaviour at 0:40. The final ant to interact with the seed senses it with its antennae and manipulates the seed using its forelegs while it scans up and down the length of the seed with the mandibles open and tracing along the surface of the seed. It doesn’t appear to make an attempt to grasp the seed before walking away.,Nyjer,Yes,14,2024/08/09 14:02 (GMT+1)
